Feature,Mean Decrease Accuracy
X350.117_2.379_3436,0.017681234968734968
X368.127_2.057_3524,0.016519483294483293
X175.001_0.32_3381,0.015
X207.014_0.245_2349,0.014021872234907948
X284.098_0.413_2419,0.011365384615384616
X302.207_2.288_4991,0.011083961917711917
X200.068_0.252_2297,0.011013456265956267
X159.027_0.32_1836,0.008964674214674215
X635.139_0.367_9679,0.008858782051282052
X160.133_0.288_2231,0.008688952020202019
X192.014_0.255_4104,0.008653469989005704
X261.144_1.393_6362,0.007428080808080807
X298.127_0.653_5878,0.007418244949494949
X304.212_2.349_9716,0.00725600468975469
X247.128_0.56_5308,0.00681895535020535
X626.532_4.046_8166,0.00668151603026603
X322.054_0.275_3451,0.006432537878787878
X264.143_0.463_5367,0.006422244897959183
X357.277_2.855_4905,0.005493685758685758
X268.139_0.395_4206,0.0052454166666666665
X285.127_0.267_4161,0.005121548821548821
X473.237_2.233_4051,0.004961216329966331
X1087.667_2.886_8284,0.00481199752628324
X246.144_0.647_2608,0.004600157166066257
X203.15_0.27_12123,0.0045311001168144025
X689.47_3.864_9012,0.0044687323633156965
X207.988_0.256_4108,0.004420563973063973
X520.507_4.058_1762,0.004411877588500965
X307.082_0.385_3088,0.004265109427609427
X428.371_2.985_3385,0.0042113729326229326
X188.175_0.266_5434,0.004147537878787879
X291.145_2.393_473,0.004139089761248852
X354.262_2.849_3643,0.0040912441724941725
X222.988_0.243_3429,0.004037907509157509
X415.192_0.3_9853,0.0038783122895622896
X417.118_2.276_5286,0.003863336663336663
X705.487_3.468_8122,0.0038177819204604914
X565.793_2.337_3414,0.003785642908678623
X527.157_0.276_2308,0.0037765934065934065
X613.157_0.381_3350,0.0035678635848278707
